Total_weight#,Directory#,Filename#,Filetype#,Total_count#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,pid,kd,kp,ki,kalman,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,jerk,decelerate,stall,downwards,rotate,torque,glucose,insulin
11,/home/uva-dsa/Research/Raven/raven_2/src/raven,grav_comp.cpp,cpp,54,,7.0,,,,6.0,,,,,,,,,,5.0,,,,,1.0,,,5.0,1.0,3.0,,,,,,,,,,,,,2.0,24.0,,
11,/home/uva-dsa/Research/Raven/raven_2/src/raven,network_layer.cpp,cpp,37,2.0,7.0,1.0,,,6.0,,,,,,,,,5.0,9.0,,,,,,,,3.0,1.0,3.0,,,,,,,,,,,,,,,,
11,/home/uva-dsa/Research/Raven/raven_2/,run.py,py,84,1.0,19.0,,,,5.0,,,,,,,10.0,1.0,,22.0,,,,,,,,8.0,1.0,6.0,11.0,,,,,,,,,,,,,,,
10,/home/uva-dsa/Research/Raven/raven_2/src/raven,update_device_state.cpp,cpp,57,,11.0,,,,17.0,1.0,,,,,,,,,1.0,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,20.0,,
10,/home/uva-dsa/Research/Raven/raven_2/src/raven,trajectory.cpp,cpp,40,,2.0,,1.0,16.0,16.0,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,
9,/home/uva-dsa/Research/Raven/raven_2/,parse_plot.py,py,57,1.0,40.0,,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,2.0,3.0,7.0,,,,,,,,,,,,,,,
9,/home/uva-dsa/Research/Raven/raven_2/src/raven,hmatrix.cpp,cpp,29,,18.0,,,,5.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,
9,/home/uva-dsa/Research/Raven/raven_2/src/raven,USB_init.cpp,cpp,21,1.0,7.0,,,,5.0,,,,,,,,,,2.0,,,,,,,,1.0,,3.0,1.0,,,1.0,,,,,,,,,,,,
8,/home/uva-dsa/Research/Raven/raven_2/,plot.py,py,29,1.0,15.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,,2.0,3.0,5.0,,,,,,,,,,,,,,,
8,/home/uva-dsa/Research/Raven/raven_2/src/raven,t_to_DAC_val.cpp,cpp,40,,8.0,,,,7.0,,,,,,,,,,4.0,,,,,,,,6.0,2.0,3.0,,,,,,,,,,,,,,10.0,,
7,/home/uva-dsa/Research/Raven/raven_2/src/raven,inv_cable_coupling.cpp,cpp,15,,3.0,,,,6.0,,,,,,,,,,1.0,,,,2.0,,,,,,3.0,,,,,,,,,,,,,,,,
7,/home/uva-dsa/Research/Raven/raven_2/,Real_Packet_Generator.py,py,13,2.0,4.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,
7,/home/uva-dsa/Research/Raven/raven_2/src/raven,utils.cpp,cpp,18,2.0,4.0,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,
7,/home/uva-dsa/Research/Raven/raven_2/,Real_Packet_Generator_Surgeon.py,py,22,5.0,8.0,,,,2.0,,,,,,,,,,3.0,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,
7,/home/uva-dsa/Research/Raven/raven_2/src/raven,update_atmel_io.cpp,cpp,31,,3.0,,,,5.0,,,,,,,,,,2.0,,,,,,,,11.0,7.0,3.0,,,,,,,,,,,,,,,,
7,/home/uva-dsa/Research/Raven/raven_2/src/raven,state_machine.cpp,cpp,14,,2.0,,,,5.0,,,,,,,,,,1.0,,,,,,,,,2.0,3.0,1.0,,,,,,,,,,,,,,,
7,/home/uva-dsa/Research/Raven/raven_2/src/raven,state_estimate.cpp,cpp,21,,9.0,,,,6.0,,,,,,,,,,2.0,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,
7,/home/uva-dsa/Research/Raven/raven_2/,plot2.py,py,35,,9.0,,,,2.0,,,,,,,,,,,,,,,,,,19.0,1.0,3.0,1.0,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/Raven/raven_2/src/raven,globals.cpp,cpp,18,,5.0,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,4.0,,,,,,,,,,,,
6,/home/uva-dsa/Research/Raven/raven_2/build/devel,_setup_util.py,py,65,,18.0,,,,,,,,,,,,,,13.0,,,,1.0,,,,2.0,,,31.0,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/Raven/raven_2/Li_DYN,run_simulator.py,py,15,1.0,5.0,,,,,,,,,,,,,,3.0,,,,,,,,1.0,1.0,,4.0,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/Raven/raven_2/build/catkin_generated/installspace,_setup_util.py,py,65,,18.0,,,,,,,,,,,,,,13.0,,,,1.0,,,,2.0,,,31.0,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/Raven/raven_2/src/raven,parallel.cpp,cpp,11,,1.0,,,,5.0,,,,,,,,,,1.0,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/Raven/raven_2/src/raven,get_USB_packet.cpp,cpp,17,,5.0,,,,5.0,,,,,,,,,,1.0,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/Raven/raven_2/,Real_Packet_Generator_2.py,py,12,3.0,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/Raven/raven_2/src/raven,put_USB_packet.cpp,cpp,15,,4.0,,,,5.0,,,,,,,,,,1.0,,,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/devel,_setup_util.py,py,63,,18.0,,,,,,,,,,,,,,11.0,,,,1.0,,,,2.0,,,31.0,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/Raven/raven_2/src/raven,tools.cpp,cpp,40,,16.0,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,15.0,,,,,,,,,,,,
6,/home/uva-dsa/Research/Raven/raven_2/src/raven,fwd_cable_coupling.cpp,cpp,21,,3.0,,,,6.0,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,8.0,,
6,/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/catkin_generated/installspace,_setup_util.py,py,63,,18.0,,,,,,,,,,,,,,11.0,,,,1.0,,,,2.0,,,31.0,,,,,,,,,,,,,,,
6,/home/uva-dsa/Research/Raven/raven_2/,generate_master_file_mfi.py,py,24,,5.0,,,,9.0,,,,,,,,,1.0,,,,,,,,,1.0,8.0,,,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/Raven/raven_2/src/raven,dof.cpp,cpp,13,,2.0,,,,6.0,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/Raven/raven_2/src/raven,two_arm_dyn.cpp,cpp,22,2.0,,,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,
5,/home/uva-dsa/Research/Raven/raven_2/,parse_csv.py,py,7,,4.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/Raven/raven_2/src/raven,log.cpp,cpp,10,,1.0,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/Raven/raven_2/src/raven,reconfigure.cpp,cpp,10,,1.0,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/Raven/raven_2/,Packet_Generator.py,py,12,3.0,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/Raven/raven_2/src/raven,mapping.cpp,cpp,20,,11.0,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/Raven/raven_2/src/raven,fwd_kinematics.cpp,cpp,16,,1.0,,,,6.0,,,,,,,,,,6.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/Raven/raven_2/src/raven,motor.cpp,cpp,11,,1.0,,,,5.0,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
5,/home/uva-dsa/Research/Raven/raven_2/,analyze_results.py,py,12,,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/catkin_generated,generate_cached_setup.py,py,16,,2.0,,,,,,,,,,,,,,8.0,,,,,,,,5.0,,,,,,,,,,,,,1.0,,,,,
4,/home/uva-dsa/Research/Raven/raven_2/build/catkin_generated,generate_cached_setup.py,py,17,,2.0,,,,,,,,,,,,,,9.0,,,,,,,,5.0,,,,,,,,,,,,,1.0,,,,,
4,/home/uva-dsa/Research/Raven/raven_2/Li_DYN,writer.cpp,cpp,4,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/Raven/raven_2/,USB_Board_Emulator.py,py,11,4.0,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
4,/home/uva-dsa/Research/Raven/raven_2/,analyze_faultfree.py,py,40,1.0,24.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,
3,/home/uva-dsa/Research/Raven/raven_2/,plot_error_log.py,py,7,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
3,/home/uva-dsa/Research/Raven/raven_2/Li_DYN/Matlab,main.cpp,cpp,11,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
3,/home/uva-dsa/Research/Raven/raven_2/src/raven,hmatrix.c,c,18,,17.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/Raven/raven_2/Li_DYN,main_back.cpp,cpp,7,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/Raven/raven_2/Li_DYN,two_arm_dyn.cpp,cpp,50,,2.0,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/Raven/raven_2/Li_DYN,main.cpp,cpp,7,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/Raven/raven_2/,generate_mfi2.py,py,47,,43.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/Raven/raven_2/,run_stat.py,py,8,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/Raven/raven_2/raven_visualization/src,joint_publisher.cpp,cpp,8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
2,/home/uva-dsa/Research/Raven/raven_2/src/raven_2/cfg,MyStuffConfig.py,py,3,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/Raven/raven_2/build/CMakeFiles/3.5.1/CompilerIdCXX,CMakeCXXCompilerId.cpp,cpp,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/Raven/raven_2/,mfi.py,py,10,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/Raven/raven_2/src/raven_2/msg,_raven_automove.py,py,9,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/Raven/raven_2/src/raven_2/msg,_raven_state.py,py,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/cmakefiles/2.8.12.2/CompilerIdCXX,CMakeCXXCompilerId.cpp,cpp,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/cmakefiles/2.8.12.2/CompilerIdC,CMakeCCompilerId.c,c,2,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/cmakefiles/CompilerIdCXX,CMakeCXXCompilerId.cpp,cpp,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/cmakefiles/CompilerIdC,CMakeCCompilerId.c,c,2,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,/home/uva-dsa/Research/Raven/raven_2/build/CMakeFiles/3.5.1/CompilerIdC,CMakeCCompilerId.c,c,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,/home/uva-dsa/Research/Raven/raven_2/src/raven_2/cfg,__init__.py,py,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,/home/uva-dsa/Research/Raven/raven_2/src/raven_2/msg,__init__.py,py,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,/home/uva-dsa/Research/Raven/raven_2/src/raven_2,__init__.py,py,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,/home/uva-dsa/Research/Raven/raven_2/,rotation_math.py,py,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,/home/uva-dsa/Research/Raven/raven_2/build/CMakeFiles,feature_tests.c,c,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
