Directory#,Filename#,Filetype#,Total#,while,for,gain,amplitude,magnitude,control,controller,controls,controlled,controlling,adaptation,stabilization,plan,schedule,mission,project,strategy,policy,output,input,pub,sub,acceleration,accelerations,force,angular,momentum,thrust,deceleration,rotate,torque,
/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/cmakefiles/CompilerIdC,CMakeCCompilerId.c,c,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/devel,_setup_util.py,py,5,0,47,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,277,0,0,28,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/catkin_generated,generate_cached_setup.py,py,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/raven_visualization/build/catkin_generated/installspace,_setup_util.py,py,5,0,47,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,277,0,0,28,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,overdrive_detect.cpp,cpp,10,0,2,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,43,0,7,0,0,0,0,0,0,0,0,0,40,
/home/uva-dsa/Research/Raven/raven_2/src/raven,fwd_cable_coupling.cpp,cpp,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,33,
/home/uva-dsa/Research/Raven/raven_2/src/raven,update_device_state.cpp,cpp,9,0,2,0,0,0,1,192,0,0,0,0,0,0,0,0,0,0,0,95,161,7,0,0,0,0,0,0,0,0,0,35,
/home/uva-dsa/Research/Raven/raven_2/src/raven,mapping.cpp,cpp,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,t_to_DAC_val.cpp,cpp,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,86,7,0,0,0,0,0,0,0,0,0,21,
/home/uva-dsa/Research/Raven/raven_2/src/raven,fwd_kinematics.cpp,cpp,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,tools.cpp,cpp,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,191,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,hmatrix.c,c,3,0,16,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,dof.cpp,cpp,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,state_machine.cpp,cpp,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7,101,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,init.cpp,cpp,13,652,2,29,0,0,1,0,0,0,0,0,0,172,0,170,0,0,0,0,0,7,115,0,0,0,0,0,0,0,0,309,
/home/uva-dsa/Research/Raven/raven_2/src/raven,rt_process_preempt.cpp,cpp,15,256,2,234,0,0,1,0,0,0,0,0,0,0,225,634,0,0,0,366,319,7,230,0,0,0,0,0,0,0,0,361,
/home/uva-dsa/Research/Raven/raven_2/src/raven,rt_raven.cpp,cpp,12,136,2,0,0,333,1,0,75,0,0,0,0,0,0,0,0,0,0,88,0,7,340,0,0,0,0,0,0,0,0,67,
/home/uva-dsa/Research/Raven/raven_2/src/raven,put_USB_packet.cpp,cpp,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94,0,7,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,hmatrix.cpp,cpp,8,0,2,0,0,0,1,0,0,0,0,0,0,157,0,0,23,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,trajectory.cpp,cpp,9,0,2,0,48,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,126,
/home/uva-dsa/Research/Raven/raven_2/src/raven,USB_init.cpp,cpp,8,96,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,250,0,7,114,0,0,239,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,motor.cpp,cpp,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,r2_kinematics.cpp,cpp,12,1280,2,0,0,0,1,0,0,0,0,0,0,772,0,0,772,0,0,393,486,7,0,0,0,0,0,0,0,0,371,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,pid_control.cpp,cpp,9,0,2,123,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,99,
/home/uva-dsa/Research/Raven/raven_2/src/raven,inv_cable_coupling.cpp,cpp,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,123,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,globals.cpp,cpp,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,43,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,reconfigure.cpp,cpp,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,grav_comp.cpp,cpp,10,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,222,0,0,247,117,7,0,0,0,0,0,0,0,0,95,22,
/home/uva-dsa/Research/Raven/raven_2/src/raven,parallel.cpp,cpp,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73,0,7,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,console_process.cpp,cpp,12,94,2,380,0,0,1,0,0,0,0,0,0,0,83,0,0,0,0,23,91,7,0,0,0,0,0,0,0,0,0,24,
/home/uva-dsa/Research/Raven/raven_2/src/raven,network_layer.cpp,cpp,9,244,2,271,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,46,7,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,homing.cpp,cpp,13,110,2,0,0,378,1,0,0,79,0,0,0,0,0,0,0,0,0,186,145,7,130,0,0,0,0,0,0,0,0,145,
/home/uva-dsa/Research/Raven/raven_2/src/raven,utils.cpp,cpp,6,262,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,316,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,local_io.cpp,cpp,10,0,2,261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,216,157,7,444,0,0,354,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,log.cpp,cpp,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,state_estimate.cpp,cpp,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,153,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,update_atmel_io.cpp,cpp,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,39,7,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,get_USB_packet.cpp,cpp,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,173,7,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven,two_arm_dyn.cpp,cpp,4,25,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,
/home/uva-dsa/Research/Raven/raven_2/src/raven_2,__init__.py,py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven_2/msg,_raven_state.py,py,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven_2/msg,__init__.py,py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven_2/msg,_raven_automove.py,py,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven_2/cfg,__init__.py,py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/src/raven_2/cfg,MyStuffConfig.py,py,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/Li_DYN,main.cpp,cpp,2,44,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/Li_DYN,main_back.cpp,cpp,2,41,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/Li_DYN,run_simulator.py,py,5,29,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,35,0,4,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/Li_DYN,writer.cpp,cpp,4,45,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,55,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/Li_DYN,two_arm_dyn.cpp,cpp,2,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/Li_DYN/Matlab,main.cpp,cpp,3,36,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/build/devel,_setup_util.py,py,5,0,48,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,280,0,0,29,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/build/catkin_generated,generate_cached_setup.py,py,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/build/catkin_generated/installspace,_setup_util.py,py,5,0,48,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,280,0,0,29,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/build/CMakeFiles,feature_tests.c,c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/build/CMakeFiles/3.5.1/CompilerIdCXX,CMakeCXXCompilerId.cpp,cpp,1,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
/home/uva-dsa/Research/Raven/raven_2/build/CMakeFiles/3.5.1/CompilerIdC,CMakeCCompilerId.c,c,1,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
